,carrier,p_nom,bus,yearcommissioned,retrofit,year_removed
DE0 2 ror,ror,0.085,DE0 2,1957,1957.0,2057
DE0 D ror,ror,1.4,DE0 D,1957,1957.0,2057
DE0 2 ror,ror,0.136,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.04,DE0 2,1957,1957.0,2057
DE0 D ror,ror,0.055,DE0 D,1957,1957.0,2057
DE0 G ror,ror,0.6625,DE0 G,1957,1957.0,2057
DE0 2 ror,ror,0.35,DE0 2,1957,1957.0,2057
DE0 A ror,ror,0.314,DE0 A,1957,1957.0,2057
DE0 2 ror,ror,0.092,DE0 2,1957,1957.0,2057
DE0 D ror,ror,0.45,DE0 D,1957,1957.0,2057
DE0 2 ror,ror,0.054,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.055,DE0 2,1957,1957.0,2057
DE0 9 ror,ror,0.15,DE0 9,1957,1957.0,2057
DE0 2 ror,ror,0.96,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.032,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.055,DE0 2,1957,1957.0,2057
DE0 1 ror,ror,0.135,DE0 1,1957,1957.0,2057
DE0 1 ror,ror,0.075,DE0 1,1957,1957.0,2057
DE0 D ror,ror,2.55,DE0 D,1957,1957.0,2057
DE0 2 ror,ror,0.18,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.06,DE0 2,1957,1957.0,2057
DE0 4 ror,ror,20.3,DE0 4,1957,1957.0,2057
DE0 2 ror,ror,0.06,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.09,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.294,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.125,DE0 2,1957,1957.0,2057
DE0 7 ror,ror,0.685,DE0 7,1957,1957.0,2057
DE0 D ror,ror,0.22,DE0 D,1957,1957.0,2057
DE0 2 ror,ror,0.032,DE0 2,1957,1957.0,2057
DE0 1 ror,ror,0.235,DE0 1,1957,1957.0,2057
DE0 2 ror,ror,0.074,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.4,DE0 2,1957,1957.0,2057
DE0 1 ror,ror,0.316,DE0 1,1957,1957.0,2057
DE0 7 ror,ror,0.038,DE0 7,1957,1957.0,2057
DE0 2 ror,ror,0.15,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.305,DE0 2,1957,1957.0,2057
DE0 G ror,ror,0.075,DE0 G,1957,1957.0,2057
DE0 G ror,ror,0.075,DE0 G,1957,1957.0,2057
DE0 2 ror,ror,0.07,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.055,DE0 2,1957,1957.0,2057
DE0 9 ror,ror,0.085,DE0 9,1957,1957.0,2057
DE0 2 ror,ror,0.36,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.135,DE0 2,1957,1957.0,2057
DE0 G ror,ror,0.225,DE0 G,1957,1957.0,2057
DE0 2 ror,ror,0.052,DE0 2,1957,1957.0,2057
DE0 B ror,ror,0.055,DE0 B,1957,1957.0,2057
DE0 G ror,ror,0.264,DE0 G,1957,1957.0,2057
DE0 2 ror,ror,0.04,DE0 2,1957,1957.0,2057
DE0 D ror,ror,0.23,DE0 D,1957,1957.0,2057
DE0 1 ror,ror,0.35,DE0 1,1957,1957.0,2057
DE0 1 ror,ror,0.185,DE0 1,1957,1957.0,2057
DE0 D ror,ror,0.11,DE0 D,1957,1957.0,2057
DE0 1 ror,ror,0.605,DE0 1,1957,1957.0,2057
DE0 2 ror,ror,0.145,DE0 2,1957,1957.0,2057
DE0 1 ror,ror,0.06,DE0 1,1957,1957.0,2057
DE0 1 ror,ror,0.185,DE0 1,1957,1957.0,2057
DE0 2 ror,ror,0.06,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.9,DE0 2,1957,1957.0,2057
DE0 D ror,ror,0.0844,DE0 D,1957,1957.0,2057
DE0 2 ror,ror,0.034,DE0 2,1957,1957.0,2057
DE0 9 ror,ror,1.5,DE0 9,1957,1957.0,2057
DE0 2 ror,ror,3.1500000000000004,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.3720000000000001,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.04,DE0 2,1957,1957.0,2057
DE0 D ror,ror,0.235,DE0 D,1957,1957.0,2057
DE0 2 ror,ror,1.4240000000000002,DE0 2,1957,1957.0,2057
DE0 1 ror,ror,0.42,DE0 1,1957,1957.0,2057
DE0 2 ror,ror,0.05,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.25,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.16,DE0 2,1957,1957.0,2057
DE0 7 ror,ror,0.033,DE0 7,1957,1957.0,2057
DE0 1 ror,ror,0.13,DE0 1,1957,1957.0,2057
DE0 A ror,ror,1.033,DE0 A,1957,1957.0,2057
DE0 7 ror,ror,0.115,DE0 7,1957,1957.0,2057
DE0 7 ror,ror,0.14,DE0 7,1957,1957.0,2057
DE0 2 ror,ror,1.5590000000000002,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.075,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.055,DE0 2,1957,1957.0,2057
DE0 1 ror,ror,0.06,DE0 1,1957,1957.0,2057
DE0 2 ror,ror,0.25,DE0 2,1957,1957.0,2057
DE0 1 ror,ror,0.05,DE0 1,1957,1957.0,2057
DE0 2 ror,ror,0.09,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.718,DE0 2,1957,1957.0,2057
DE0 1 ror,ror,0.21,DE0 1,1957,1957.0,2057
DE0 1 ror,ror,0.3,DE0 1,1957,1957.0,2057
DE0 2 ror,ror,0.045,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.045,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.055,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.038,DE0 2,1957,1957.0,2057
DE0 1 ror,ror,0.22,DE0 1,1957,1957.0,2057
DE0 2 ror,ror,0.0735,DE0 2,1957,1957.0,2057
DE0 1 ror,ror,0.1,DE0 1,1957,1957.0,2057
DE0 2 ror,ror,0.09,DE0 2,1957,1957.0,2057
DE0 B ror,ror,0.17,DE0 B,1957,1957.0,2057
DE0 2 ror,ror,0.075,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.037,DE0 2,1957,1957.0,2057
DE0 1 ror,ror,0.48,DE0 1,1957,1957.0,2057
DE0 7 ror,ror,0.32,DE0 7,1957,1957.0,2057
DE0 7 ror,ror,0.151,DE0 7,1957,1957.0,2057
DE0 1 ror,ror,0.18,DE0 1,1957,1957.0,2057
DE0 D ror,ror,0.48,DE0 D,1957,1957.0,2057
DE0 E ror,ror,0.25,DE0 E,1957,1957.0,2057
DE0 1 ror,ror,0.49,DE0 1,1957,1957.0,2057
DE0 2 ror,ror,0.075,DE0 2,1957,1957.0,2057
DE0 G ror,ror,0.25,DE0 G,1957,1957.0,2057
DE0 D ror,ror,0.45,DE0 D,1957,1957.0,2057
DE0 2 ror,ror,0.038,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.115,DE0 2,1957,1957.0,2057
DE0 4 ror,ror,0.065,DE0 4,1957,1957.0,2057
DE0 2 ror,ror,0.118,DE0 2,1957,1957.0,2057
DE0 1 ror,ror,0.055,DE0 1,1957,1957.0,2057
DE0 2 ror,ror,0.048,DE0 2,1957,1957.0,2057
DE0 7 ror,ror,0.25,DE0 7,1957,1957.0,2057
DE0 1 ror,ror,0.045,DE0 1,1957,1957.0,2057
DE0 D ror,ror,0.75,DE0 D,1957,1957.0,2057
DE0 A ror,ror,0.06,DE0 A,1957,1957.0,2057
DE0 2 ror,ror,0.06,DE0 2,1957,1957.0,2057
DE0 D ror,ror,0.47,DE0 D,1957,1957.0,2057
DE0 2 ror,ror,0.185,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.228,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.033,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.04,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,2.76,DE0 2,1957,1957.0,2057
DE0 1 ror,ror,0.045,DE0 1,1957,1957.0,2057
DE0 D ror,ror,0.08,DE0 D,1957,1957.0,2057
DE0 1 ror,ror,0.075,DE0 1,1957,1957.0,2057
DE0 1 ror,ror,0.075,DE0 1,1957,1957.0,2057
DE0 A ror,ror,0.132,DE0 A,1957,1957.0,2057
DE0 2 ror,ror,0.746,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.1,DE0 2,1957,1957.0,2057
DE0 1 ror,ror,0.048,DE0 1,1957,1957.0,2057
DE0 1 ror,ror,0.035,DE0 1,1957,1957.0,2057
DE0 2 ror,ror,0.078,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.045,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.056,DE0 2,1957,1957.0,2057
DE0 1 ror,ror,0.08,DE0 1,1957,1957.0,2057
DE0 4 ror,ror,0.215,DE0 4,1957,1957.0,2057
DE0 1 ror,ror,0.037,DE0 1,1957,1957.0,2057
DE0 2 ror,ror,0.08,DE0 2,1957,1957.0,2057
DE0 9 ror,ror,0.13,DE0 9,1957,1957.0,2057
DE0 2 ror,ror,0.16,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.21,DE0 2,1957,1957.0,2057
DE0 1 ror,ror,0.037,DE0 1,1957,1957.0,2057
DE0 7 ror,ror,0.11,DE0 7,1957,1957.0,2057
DE0 2 ror,ror,0.15,DE0 2,1957,1957.0,2057
DE0 A ror,ror,0.15,DE0 A,1957,1957.0,2057
DE0 G ror,ror,0.05,DE0 G,1957,1957.0,2057
DE0 1 ror,ror,0.22,DE0 1,1957,1957.0,2057
DE0 1 ror,ror,0.037,DE0 1,1957,1957.0,2057
DE0 2 ror,ror,0.066,DE0 2,1957,1957.0,2057
DE0 A ror,ror,1.5,DE0 A,1957,1957.0,2057
DE0 8 ror,ror,0.16,DE0 8,1957,1957.0,2057
DE0 D ror,ror,0.468,DE0 D,1957,1957.0,2057
DE0 2 ror,ror,0.033,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.095,DE0 2,1957,1957.0,2057
DE0 7 ror,ror,0.115,DE0 7,1957,1957.0,2057
DE0 1 ror,ror,0.09,DE0 1,1957,1957.0,2057
DE0 1 ror,ror,0.98,DE0 1,1957,1957.0,2057
DE0 2 ror,ror,0.0485,DE0 2,1957,1957.0,2057
DE0 B ror,ror,0.15,DE0 B,1957,1957.0,2057
DE0 9 ror,ror,0.085,DE0 9,1957,1957.0,2057
DE0 D ror,ror,0.585,DE0 D,1957,1957.0,2057
DE0 D ror,ror,0.1669999999999999,DE0 D,1957,1957.0,2057
DE0 D ror,ror,0.25,DE0 D,1957,1957.0,2057
DE0 D ror,ror,0.29,DE0 D,1957,1957.0,2057
DE0 1 ror,ror,0.09,DE0 1,1957,1957.0,2057
DE0 1 ror,ror,0.09,DE0 1,1957,1957.0,2057
DE0 2 ror,ror,0.038,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.036,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.05,DE0 2,1957,1957.0,2057
DE0 D ror,ror,0.075,DE0 D,1957,1957.0,2057
DE0 G ror,ror,0.067,DE0 G,1957,1957.0,2057
DE0 2 ror,ror,0.12,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.035,DE0 2,1957,1957.0,2057
DE0 1 ror,ror,0.475,DE0 1,1957,1957.0,2057
DE0 9 ror,ror,0.3,DE0 9,1957,1957.0,2057
DE0 G ror,ror,0.29,DE0 G,1957,1957.0,2057
DE0 1 ror,ror,0.11,DE0 1,1957,1957.0,2057
DE0 1 ror,ror,0.0955,DE0 1,1957,1957.0,2057
DE0 D ror,ror,0.45,DE0 D,1957,1957.0,2057
DE0 1 ror,ror,0.075,DE0 1,1957,1957.0,2057
DE0 1 ror,ror,0.447,DE0 1,1957,1957.0,2057
DE0 E ror,ror,1.45,DE0 E,1957,1957.0,2057
DE0 D ror,ror,1.0,DE0 D,1957,1957.0,2057
DE0 G ror,ror,0.045,DE0 G,1957,1957.0,2057
DE0 1 ror,ror,0.16,DE0 1,1957,1957.0,2057
DE0 2 ror,ror,0.188,DE0 2,1957,1957.0,2057
DE0 D ror,ror,0.655,DE0 D,1957,1957.0,2057
DE0 2 ror,ror,0.06,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.035,DE0 2,1957,1957.0,2057
DE0 9 ror,ror,0.5,DE0 9,1957,1957.0,2057
DE0 2 ror,ror,0.07,DE0 2,1957,1957.0,2057
DE0 1 ror,ror,0.26,DE0 1,1957,1957.0,2057
DE0 1 ror,ror,0.622,DE0 1,1957,1957.0,2057
DE0 2 ror,ror,0.083,DE0 2,1957,1957.0,2057
DE0 E ror,ror,1.2,DE0 E,1957,1957.0,2057
DE0 4 ror,ror,0.095,DE0 4,1957,1957.0,2057
DE0 D ror,ror,0.12,DE0 D,1957,1957.0,2057
DE0 2 ror,ror,0.032,DE0 2,1957,1957.0,2057
DE0 D ror,ror,0.585,DE0 D,1957,1957.0,2057
DE0 G ror,ror,0.6,DE0 G,1957,1957.0,2057
DE0 D ror,ror,0.11,DE0 D,1957,1957.0,2057
DE0 2 ror,ror,0.034,DE0 2,1957,1957.0,2057
DE0 A ror,ror,0.11,DE0 A,1957,1957.0,2057
DE0 2 ror,ror,0.096,DE0 2,1957,1957.0,2057
DE0 D ror,ror,0.093,DE0 D,1957,1957.0,2057
DE0 2 ror,ror,0.052,DE0 2,1957,1957.0,2057
DE0 1 ror,ror,0.0788,DE0 1,1957,1957.0,2057
DE0 1 ror,ror,0.33,DE0 1,1957,1957.0,2057
DE0 2 ror,ror,1.2,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.13,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.1,DE0 2,1957,1957.0,2057
DE0 D ror,ror,0.28,DE0 D,1957,1957.0,2057
DE0 2 ror,ror,0.037,DE0 2,1957,1957.0,2057
DE0 G ror,ror,0.312,DE0 G,1957,1957.0,2057
DE0 A ror,ror,0.45,DE0 A,1957,1957.0,2057
DE0 2 ror,ror,0.075,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.05,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.35,DE0 2,1957,1957.0,2057
DE0 1 ror,ror,0.072,DE0 1,1957,1957.0,2057
DE0 D ror,ror,1.5,DE0 D,1957,1957.0,2057
DE0 1 ror,ror,0.055,DE0 1,1957,1957.0,2057
DE0 2 ror,ror,0.0368,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.07,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.2,DE0 2,1957,1957.0,2057
DE0 E ror,ror,4.5,DE0 E,1957,1957.0,2057
DE0 2 ror,ror,4.2,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.227,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.225,DE0 2,1957,1957.0,2057
DE0 A ror,ror,0.5,DE0 A,1957,1957.0,2057
DE0 E ror,ror,1.45,DE0 E,1957,1957.0,2057
DE0 D ror,ror,0.757,DE0 D,1957,1957.0,2057
DE0 1 ror,ror,0.33,DE0 1,1957,1957.0,2057
DE0 2 ror,ror,0.779,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.33,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.27,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.25,DE0 2,1957,1957.0,2057
DE0 1 ror,ror,0.334,DE0 1,1957,1957.0,2057
DE0 2 ror,ror,0.08,DE0 2,1957,1957.0,2057
DE0 1 ror,ror,0.39,DE0 1,1957,1957.0,2057
DE0 2 ror,ror,0.2611,DE0 2,1957,1957.0,2057
DE0 1 ror,ror,0.11,DE0 1,1957,1957.0,2057
DE0 2 ror,ror,0.07,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.09,DE0 2,1957,1957.0,2057
DE0 B ror,ror,0.17,DE0 B,1957,1957.0,2057
DE0 1 ror,ror,0.04,DE0 1,1957,1957.0,2057
DE0 2 ror,ror,0.624,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.04,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.06,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.3697,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.0342,DE0 2,1957,1957.0,2057
DE0 1 ror,ror,0.045,DE0 1,1957,1957.0,2057
DE0 G ror,ror,0.245,DE0 G,1957,1957.0,2057
DE0 2 ror,ror,0.5,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.0421,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,47.1,DE0 2,1957,1957.0,2057
DE0 7 ror,ror,0.06,DE0 7,1957,1957.0,2057
DE0 D ror,ror,0.132,DE0 D,1957,1957.0,2057
DE0 2 ror,ror,0.41,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.16,DE0 2,1957,1957.0,2057
DE0 9 ror,ror,0.108,DE0 9,1957,1957.0,2057
DE0 2 ror,ror,0.055,DE0 2,1957,1957.0,2057
DE0 D ror,ror,0.32,DE0 D,1957,1957.0,2057
DE0 2 ror,ror,0.037,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,26.56,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.09,DE0 2,1957,1957.0,2057
DE0 1 ror,ror,1.3,DE0 1,1957,1957.0,2057
DE0 D ror,ror,0.21,DE0 D,1957,1957.0,2057
DE0 2 ror,ror,0.04,DE0 2,1957,1957.0,2057
DE0 1 ror,ror,0.09,DE0 1,1957,1957.0,2057
DE0 1 ror,ror,0.034,DE0 1,1957,1957.0,2057
DE0 D ror,ror,0.26,DE0 D,1957,1957.0,2057
DE0 D ror,ror,0.165,DE0 D,1957,1957.0,2057
DE0 2 ror,ror,0.09,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.04,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.045,DE0 2,1957,1957.0,2057
DE0 4 ror,ror,0.095,DE0 4,1957,1957.0,2057
DE0 2 ror,ror,0.292,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.056,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.084,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.078,DE0 2,1957,1957.0,2057
DE0 1 ror,ror,0.099,DE0 1,1957,1957.0,2057
DE0 2 ror,ror,0.067,DE0 2,1957,1957.0,2057
DE0 E ror,ror,0.32,DE0 E,1957,1957.0,2057
DE0 2 ror,ror,0.135,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.039,DE0 2,1957,1957.0,2057
DE0 1 ror,ror,0.045,DE0 1,1957,1957.0,2057
DE0 1 ror,ror,0.06,DE0 1,1957,1957.0,2057
DE0 D ror,ror,0.045,DE0 D,1957,1957.0,2057
DE0 1 ror,ror,0.07,DE0 1,1957,1957.0,2057
DE0 D ror,ror,0.27,DE0 D,1957,1957.0,2057
DE0 9 ror,ror,0.037,DE0 9,1957,1957.0,2057
DE0 2 ror,ror,0.075,DE0 2,1957,1957.0,2057
DE0 1 ror,ror,0.15403,DE0 1,1957,1957.0,2057
DE0 1 ror,ror,0.075,DE0 1,1957,1957.0,2057
DE0 2 ror,ror,0.075,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.17,DE0 2,1957,1957.0,2057
DE0 E ror,ror,0.045,DE0 E,1957,1957.0,2057
DE0 2 ror,ror,0.055,DE0 2,1957,1957.0,2057
DE0 D ror,ror,0.5840000000000001,DE0 D,1957,1957.0,2057
DE0 2 ror,ror,0.037,DE0 2,1957,1957.0,2057
