,bus,carrier,p_nom,year_removed
DE0 2 biomass,DE0 2,biomass,7.0365,2049
DE0 9 biomass,DE0 9,biomass,5.707,2049
DE0 A biomass,DE0 A,biomass,5.702,2049
DE0 E biomass,DE0 E,biomass,1.0230000000000001,2049
DE0 2 biomass,DE0 2,biomass,23.698999999999998,2048
DE0 9 biomass,DE0 9,biomass,9.8015,2048
DE0 A biomass,DE0 A,biomass,12.922,2048
DE0 E biomass,DE0 E,biomass,4.3192,2048
DE0 2 biomass,DE0 2,biomass,5.505599999999999,2047
DE0 9 biomass,DE0 9,biomass,5.2385,2047
DE0 A biomass,DE0 A,biomass,3.4819999999999998,2047
DE0 E biomass,DE0 E,biomass,2.357,2047
DE0 2 biomass,DE0 2,biomass,6.7824,2046
DE0 9 biomass,DE0 9,biomass,10.083,2046
DE0 A biomass,DE0 A,biomass,4.634,2046
DE0 E biomass,DE0 E,biomass,5.278,2046
DE0 2 biomass,DE0 2,biomass,5.1407,2045
DE0 9 biomass,DE0 9,biomass,2.6347,2045
DE0 A biomass,DE0 A,biomass,4.125,2045
DE0 E biomass,DE0 E,biomass,3.18246,2045
DE0 2 biomass,DE0 2,biomass,47.807900000000004,2044
DE0 9 biomass,DE0 9,biomass,58.22044,2044
DE0 A biomass,DE0 A,biomass,47.754020000000004,2044
DE0 E biomass,DE0 E,biomass,68.6938,2044
DE0 2 biomass,DE0 2,biomass,60.3083,2043
DE0 9 biomass,DE0 9,biomass,83.5994,2043
DE0 A biomass,DE0 A,biomass,48.3777,2043
DE0 E biomass,DE0 E,biomass,74.866,2043
DE0 2 biomass,DE0 2,biomass,83.64336,2042
DE0 9 biomass,DE0 9,biomass,72.8035,2042
DE0 A biomass,DE0 A,biomass,63.3512,2042
DE0 E biomass,DE0 E,biomass,78.7522,2042
DE0 2 biomass,DE0 2,biomass,309.9757,2041
DE0 9 biomass,DE0 9,biomass,550.5011,2041
DE0 A biomass,DE0 A,biomass,200.7737,2041
DE0 E biomass,DE0 E,biomass,171.9309,2041
DE0 2 biomass,DE0 2,biomass,263.92495,2040
DE0 9 biomass,DE0 9,biomass,307.9539,2040
DE0 A biomass,DE0 A,biomass,99.94036,2040
DE0 E biomass,DE0 E,biomass,88.91,2040
DE0 2 biomass,DE0 2,biomass,166.67037,2039
DE0 9 biomass,DE0 9,biomass,188.895475,2039
DE0 A biomass,DE0 A,biomass,89.32085000000001,2039
DE0 E biomass,DE0 E,biomass,91.3712,2039
DE0 2 biomass,DE0 2,biomass,118.00750000000001,2038
DE0 9 biomass,DE0 9,biomass,151.20249,2038
DE0 A biomass,DE0 A,biomass,49.441,2038
DE0 E biomass,DE0 E,biomass,93.784,2038
DE0 2 biomass,DE0 2,biomass,222.2164,2037
DE0 9 biomass,DE0 9,biomass,269.61115,2037
DE0 A biomass,DE0 A,biomass,88.862081,2037
DE0 E biomass,DE0 E,biomass,129.79,2037
DE0 2 biomass,DE0 2,biomass,353.77326,2036
DE0 9 biomass,DE0 9,biomass,319.7673,2036
DE0 A biomass,DE0 A,biomass,158.2967,2036
DE0 E biomass,DE0 E,biomass,138.7978,2036
DE0 2 biomass,DE0 2,biomass,359.6353,2035
DE0 9 biomass,DE0 9,biomass,233.574,2035
DE0 A biomass,DE0 A,biomass,113.2893,2035
DE0 E biomass,DE0 E,biomass,86.6703,2035
DE0 2 biomass,DE0 2,biomass,205.5593,2034
DE0 9 biomass,DE0 9,biomass,89.203,2034
DE0 A biomass,DE0 A,biomass,97.3888,2034
DE0 E biomass,DE0 E,biomass,229.6723,2034
DE0 2 biomass,DE0 2,biomass,68.4415,2033
DE0 9 biomass,DE0 9,biomass,60.756,2033
DE0 A biomass,DE0 A,biomass,40.9927,2033
DE0 E biomass,DE0 E,biomass,45.908,2033
DE0 2 biomass,DE0 2,biomass,40.07866,2032
DE0 9 biomass,DE0 9,biomass,35.662,2032
DE0 A biomass,DE0 A,biomass,14.364,2032
DE0 E biomass,DE0 E,biomass,70.131,2032
DE0 2 biomass,DE0 2,biomass,92.236,2031
DE0 9 biomass,DE0 9,biomass,25.619,2031
DE0 A biomass,DE0 A,biomass,34.635799999999996,2031
DE0 E biomass,DE0 E,biomass,36.617000000000004,2031
DE0 2 biomass,DE0 2,biomass,70.816,2030
DE0 9 biomass,DE0 9,biomass,25.8645,2030
DE0 A biomass,DE0 A,biomass,76.8793,2030
DE0 E biomass,DE0 E,biomass,23.936500000000002,2030
DE0 2 biomass,DE0 2,biomass,10.6768,2029
DE0 9 biomass,DE0 9,biomass,2.553,2029
DE0 A biomass,DE0 A,biomass,17.142,2029
DE0 E biomass,DE0 E,biomass,8.062,2029
DE0 2 biomass,DE0 2,biomass,9.2035,2028
DE0 9 biomass,DE0 9,biomass,10.409,2028
DE0 A biomass,DE0 A,biomass,15.926,2028
DE0 E biomass,DE0 E,biomass,1.837,2028
DE0 2 biomass,DE0 2,biomass,12.916,2027
DE0 9 biomass,DE0 9,biomass,10.996,2027
DE0 A biomass,DE0 A,biomass,8.396,2027
DE0 E biomass,DE0 E,biomass,10.714,2027
DE0 2 biomass,DE0 2,biomass,3.476,2026
DE0 9 biomass,DE0 9,biomass,4.274,2026
DE0 A biomass,DE0 A,biomass,5.82,2026
DE0 E biomass,DE0 E,biomass,0.167,2026
DE0 2 biomass,DE0 2,biomass,5.322,2025
DE0 9 biomass,DE0 9,biomass,5.034,2025
DE0 A biomass,DE0 A,biomass,4.231,2025
DE0 E biomass,DE0 E,biomass,2.635,2025
DE0 2 biomass,DE0 2,biomass,17.752,2024
DE0 9 biomass,DE0 9,biomass,3.78,2024
DE0 A biomass,DE0 A,biomass,1.464,2024
DE0 E biomass,DE0 E,biomass,7.18,2024
DE0 2 biomass,DE0 2,biomass,0.7342,2023
DE0 9 biomass,DE0 9,biomass,1.5,2023
DE0 A biomass,DE0 A,biomass,4.334,2023
DE0 E biomass,DE0 E,biomass,28.529999999999998,2023
DE0 2 biomass,DE0 2,biomass,0.788,2022
DE0 A biomass,DE0 A,biomass,3.383,2022
DE0 2 biomass,DE0 2,biomass,2.188,2021
DE0 A biomass,DE0 A,biomass,1.412,2021
DE0 E biomass,DE0 E,biomass,0.259,2021
DE0 2 biomass,DE0 2,biomass,0.269,2020
DE0 9 biomass,DE0 9,biomass,3.116,2020
DE0 A biomass,DE0 A,biomass,1.5270000000000001,2020
DE0 2 biomass,DE0 2,biomass,0.12,2019
DE0 9 biomass,DE0 9,biomass,3.6,2019
DE0 A biomass,DE0 A,biomass,0.2,2019
